feature	coef
model_titan single cab sv	-1703.361826
model_m35	-1708.853459
model_1500 slt	-1737.950815
model_cts	-1769.463541
model_grand cherokee laredo	-1777.417901
paint_color_silver	-1792.656108
model_1500 quad cab harvest pickup	-1802.903938
manufacturer_cadillac	-1816.467087
model_fusion	-1816.686326
model_corolla le	-1841.210921
model_colorado extended cab	-1843.004948
model_soul	-1855.242376
model_cr-v ex-l	-1881.219541
title_status_salvage	-1881.220038
model_legacy 2.5i premium sedan	-1913.706313
manufacturer_nissan	-1931.252782
model_denali	-1934.945674
model_windstar	-1936.38125
model_sierra	-1938.013866
model_blue bird bus	-1963.072625
model_f-150 xlt	-2024.591024
model_s60	-2044.440793
model_super duty f-350 srw	-2061.400501
model_odyssey exl	-2078.051328
model_eclipse	-2102.139362
manufacturer_mazda	-2106.013616
type_hatchback	-2115.379555
model_sierra 2500 hd extended cab	-2117.901155
model_cherokee	-2186.487104
model_sport trac	-2214.786015
model_yukon xl denali	-2240.432768
type_wagon	-2251.825249
model_500l lounge	-2273.560809
manufacturer_fiat	-2273.560824
model_bronco ii	-2298.113512
manufacturer_mercedes-benz	-2308.199265
model_avalon	-2342.366649
model_rx	-2342.951289
paint_color_brown	-2374.85817
model_elantra	-2386.908569
model_z4	-2400.050886
model_clk320	-2406.498543
model_f150 regular cab xl	-2442.231971
model_kicks	-2509.495881
model_328i	-2525.893923
model_mkc	-2528.600638
model_sentra s sedan 4d	-2547.839323
model_cavalier	-2561.298558
model_explorer xlt	-2575.064768
model_pathfinder	-2583.280315
model_glk	-2608.567484
model_sx4 se	-2615.170466
model_encore	-2618.227501
model_accord coupe	-2633.230345
model_lr4 hse	-2635.938395
type_van	-2638.410533
model_taurus	-2654.531113
model_colorado	-2663.934729
title_status_missing	-2663.935286
model_prius v hybrid	-2739.825859
model_srx	-2756.044485
model_ioniq hybrid	-2790.811332
model_pilot lx sport utility 4d	-2795.90322
model_tahoe	-2824.71249
model_captiva sport	-2858.549908
manufacturer_buick	-2872.954855
model_suburban z71	-2889.640669
model_miata mx-5	-2929.616764
model_Isuzu NPR	-2933.381071
model_e-series cargo e350 super d	-2934.13296
model_ranger	-2958.303769
model_sonata gls	-2994.818706
model_jx35	-3013.734091
model_1500 express	-3023.967365
model_odyssey ex	-3034.120091
model_grand prix	-3049.905245
model_baja	-3075.852908
model_sierra 1500 regular cab	-3141.677572
model_ranger supercab xl pickup	-3147.729633
model_f250 xl	-3151.728976
model_frontier sv	-3166.43445
model_charger rt 4dr sedan	-3184.556554
model_f-150	-3226.302331
model_fusion se	-3233.776156
model_cooper s	-3248.281666
model_verano	-3256.408926
model_charger	-3260.71548
manufacturer_jeep	-3324.694254
model_silverado 1500 regular	-3328.421432
model_es 330	-3332.153033
model_c-max hybrid se wagon 4d	-3339.392908
model_camry le sedan 4d	-3353.619529
model_durango	-3369.679311
model_impala lt	-3379.314818
title_status_rebuilt	-3415.700859
model_silverado	-3520.83453
model_f150 xl	-3526.403928
model_f250 lariat	-3554.860955
manufacturer_chrysler	-3563.916207
model_s60 t5 premier sedan 4d	-3575.707106
model_qx50 sport utility 4d	-3600.053373
drive_rwd	-3619.772731
model_3500	-3632.571171
model_nan	-3665.351589
model_ml350	-3687.195389
model_outlander sport es	-3699.304378
paint_color_orange	-3699.304406
model_traverse	-3769.889626
model_sts v6	-3785.82657
manufacturer_kia	-3796.932404
model_cobalt	-3867.136474
model_ct200h hybrid	-3950.158234
model_canyon extended cab pickup	-3993.281232
manufacturer_mini	-4011.037776
model_trailblazer	-4023.215343
model_sts	-4027.223542
model_nv200	-4129.661994
condition_fair	-4161.567566
model_forte ex	-4169.832372
model_civic lx sedan 4d	-4216.370867
model_terrain slt	-4306.001882
model_x5	-4354.659674
age	-4394.432471
model_freestar ses	-4430.721397
model_venza	-4494.831558
drive_nan	-4501.515705
model_smart fortwo	-4518.694742
cylinders_3 cylinders	-4518.695235
paint_color_custom	-4629.113143
model_sportage	-4730.538479
model_Scion iM Hatchback 4D	-4811.220612
odometer	-4899.005005
model_passat tdi	-4918.068186
model_corolla	-4947.894477
model_mustang	-4964.098372
manufacturer_subaru	-4993.559225
model_International TerraStar	-5010.358257
model_quest	-5021.428177
model_explorer sport trac	-5032.010863
